item_id,item,label
'503866345822244864',"Â_ USA 592 Earthquake Earthquake rattles, doesn t wreck Napa wineries news24lhot Georgia USA Augusta-Richmond... http://t.co/S8EMU5FrXH",Infrastructure and utilities
'503866373961809920',â€¢ â€¢ Earthquake #Earthquake California Earthquake San Francisco 428 â€¢ Northern California Struâ€_... http://t.co/WG0ufzf2W1 #Earthquake,Other relevant information
'503866427322159104',WCVB Boston: California quake: Recovering after 6.0 tremor. http://t.co/9LgBex6FSc,Other relevant information
'503866453280317440',I don't know. CALIFORNIA. if u had a winery the first thing I'd do is make the wine storage earthquake proof.  But that's just me.,Not related or irrelevant
'503866484461170688',"NOW: Possible #Timmies, #BurgerKing merger, #Ottawa stabbing, Ottawa drowning, #Napa #quake LISTEN: http://t.co/wiW3aVkxBG  #Ottnews",Not related or irrelevant
'503866526676819969',California quake damages historic buildings - http://t.co/bTKumsLzgf #News,Infrastructure and utilities
'503866614161211392',"California wine country rocked by 6.0 quake, dozens hurt - Reuters: ReutersCalifornia wine country rocked by 6... http://t.co/MdNt9Ibdqz",Other relevant information
'503866635745099776',90% Of CA Homes Don't Have Quake Insurance. There Are Reasons http://t.co/mo4N9W8iv1,Infrastructure and utilities
'503866707568373760',Earthquake Mag 2.8 Saturday 8/23/14 8:24pm UTC Central California #PocketWeather http://t.co/Ns8PlEEKfS http://t.co/vu3AD86L36,Other relevant information
'503866815203012608',California begins quake clear-up http://t.co/doxn3OaY14,Infrastructure and utilities
'503866885629554688',Napa Valley Wineries Picking Up the Pieces After Earthquake... http://t.co/YhNpHSj9gP,Infrastructure and utilities
'503866910166253568',B.R. Cohn Winery after Napa earthquake. http://t.co/ANvGM0L1Me http://t.co/gjruEZw3mD,Infrastructure and utilities
'503866926330679296',Scores injured in magnitude 6.1 #NapaQuake -&gt; http://t.co/6ePr1rkktR #earthquake,Injured or dead people
'503867001794600960',N. California Earthquake Damage Could Reach $1B http://t.co/dmPGYSYbID,Infrastructure and utilities
'503867092547141632',"Disaster News: PG&amp;E says over 20 #gas-distribution outages remain after Sunday's mag 6.0 #Earthquake near #Napa, California.",Infrastructure and utilities
'503867097060225024',M-C: CA 'Quake knocks Napa stations off-air. http://t.co/g0Kv1IgSME,Infrastructure and utilities
'503867402023481345',"3 Critically Injured and 120 Sent to Hospital, After 6.0 Quake Rattles California's Napa Region http://t.co/ScSeLJYVYv via @mashable",Injured or dead people
'503867406323056640',Â_ USA http://t.co/SutuktkvTx 823 earthquake The Bay Area just got hit with its largest earthquake in 25 years janinebucks Alabama USA Montgâ€_,Other relevant information
'503867483795619840',6.0-magnitude quake shakes San Francisco; largest Bay Area quake since 1989 - Dallas Morning News http://t.co/n6jLWLk5XF #BayArea,Other relevant information
'503867552536489985',"my home away from home on many occasions &gt; please let the damage be buildings, not people. http://t.co/2uvLyBZgJc #earthquake #sonoma #napa",Sympathy and emotional support
'503867580495327232',California earthquake: Kids skateboard on fissured streets as clean-up operation begins http://t.co/IPA335aSUB,Other relevant information
'503867657628962817',That San Francisco earthquake was much worse that I imagined.  Hope everybody's OK!,Sympathy and emotional support
'503867696455647232',Earthquake in California.... Sweet,Not related or irrelevant
'503867814705659904',New list of things to blame Obama for: #Ebola #Golfing #Methane #BÃ¡rÃ°arbunga #Netanyahu #NapaQuake #OccularOrbit #Yazidis #CAdrought â€“ #tcot,Not related or irrelevant
'503867893038473216',The 1989 earthquake in San Francisco California was fucking crazy...,Other relevant information
'503867895240073217',Earthquake Rocks Napa Valley: http://t.co/bc4Et4JCiB via @YouTube,Other relevant information
'503867944213184512',Billions of dollars of wine rocked in California earthquake: http://t.co/Px7LolIbK0,Infrastructure and utilities
'503868013762715649',California quake: Recovering after 6.0 tremor http://t.co/kpnsSOPcXc,Other relevant information
'503868106041610241',What Napa Looks Like After the Quake http://t.co/ioEyDyToUW via @mashable,Other relevant information
