index	sentence
0	many still missing as toll for nepal s earthquake tops 5 00 la times httpAddress
1	rt usrId praying for strength and courage to all those affected in #nepal #india #earthquake . #nepalquake httpAddress
2	rt usrId everyone please pray for nepal httpAddress
3	rt usrId my thoughts and prayers are with everyone affected by the nepal earthquake 4 f b
4	thousands volunteer to scour satellite images of nepal earthquake more than 4 500 people have volunteered to examine 14 00 square httpAddress
5	new post buildings are down and roads are out after major nepal earthquake cnn sister network cnn ibn httpAddress httpAddress
6	rt usrId building collapses in kathmandu on day of #nepalquake video so nan tsai jen httpAddress
7	i am still getting goosebumps ! #nepalquake
8	rt usrId #nepalearthquake nepal army guiding iaf to locations for httpAddress httpAddress a story in D httpAddress httpAddress
9	google opens its person finder tool to aid earthquake relief efforts in nepal httpAddress #tech #news httpAddress
10	rt usrId donate now and support the victims of the nepal httpAddress ways to help httpAddress
11	i hope those affected in nepal all alright !! my strength is in you #nepalearthquake
12	#earthquakeindia judging by the nature of tremors in lakhimpur one can only imagine the plight of people in httpAddress god be with them !!
13	unicef aid for nepal needs to move faster httpAddress
14	rt usrId this is such a miserable site to httpAddress please do send httpAddress d d d #prayfornepal #nepalearthquake httpAddress
15	rt usrId let s do what we httpAddress to the usrId nepal relief httpAddress 100 go directly to efforts httpAddress httpAddress
16	rt usrId instead of food medicine or tents ford foundation have sent DD copies of bible to nepal s starving citizens httpAddress
17	rt usrId a heart full of condolences amp ; lips worded with prayers for the #earthquakeaffected in httpAddress there b light httpAddress http
18	man pulled alive from rubble DD hours after nepal quake as death toll passes 5 00 httpAddress
19	rt usrId earthquake devastates nepal killing more than 1 300 how to help the relief effort httpAddress httpAddress
20	usrId just launched a person finder instance to help track missing persons for the #nepal httpAddress
21	brothers and sisters please let s pray for #nepal .
22	usrId thank you for spreading the word about our #nepal relief efforts susie greatly appreciated ! best wishes charlotte
23	salute to indian army and pm narendra modi for sending relief in nepal
24	httpAddress httpAddress
25	nepal earthquake httpAddress
26	sending our thoughts amp ; prayers D people of amp ; in nepal trying to find out if razon miah amp ; family amp ; narayan khatri amp ; family ok #nepalquake
27	rt usrId our hearts go out to the thousands in mourning in nepal and around the httpAddress life is so httpAddress love the ones you httpAddress
28	rt usrId #gimel will be sending relief supplies for #nepalearthquake httpAddress please join this effort amp ; contribute with things you do
29	rt usrId httpAddress director usrId seeks assistance for house help stuck in quake hit nepal httpAddress httpAddress
30	india sends rail neer water to quake hit nepal the indian railways which produces its own packaged drinking water to serve its httpAddress
31	rt usrId most journalists asking for help httpAddress contacts in #nepal are interested in everest not earthquake httpAddress 2 200 are httpAddress
32	spoke to friend involved in humanitarian effort in httpAddress bodies piling up . surreal like scene from post apocalyptic httpAddress #nepalearthquake
33	rt usrId join us in rushing aid to victims of the #nepalearthquake your gift will be matched up to 225 00 httpAddress
34	rt usrId my prayers f also 4all the people who have suffered in this devastating httpAddress may god be with you amp ; ur fam
35	in nepal a flood of people leave capital to return home httpAddress
36	rt usrId #bhutan s small but not small enough to not be able to help our httpAddress his majesty sends DD member team with medical st
37	rt usrId he prayed for his life before it httpAddress #nepalearthquake #prayfornepal httpAddress
38	rt usrId emergency declared in nepal with latest death toll reaching DD nepali official
39	#nepal death toll now over 4 00
40	earthquake update govt mobilised DD ndrf teams for nepal
41	good morning httpAddress busy day at work httpAddress just to remind that the people of nepal are in need of your help pl help httpAddress
42	so httpAddress httpAddress a beautiful peaceful httpAddress #prayerfornepal
43	video on the avalanche at base httpAddress #nepalearthquake httpAddress
44	usrId #nepalearthquake need humanitarian aid rescue operation medical assistance
45	ifrcasiapacific cnn red cross aids in rescue efforts in nepal httpAddress
46	rt usrId thai medical students haven t reported back from httpAddress if anyone knows any updates about them please contact me . thx httpAddress
47	rt usrId scots listed missing after the #nepalearthquake have been making contact with their families httpAddress ht
48	rt usrId over 3 600 people have died in #nepal and that s the best these guys can do . pretty httpAddress httpAddress
49	working together to save httpAddress #usisraelpartnership httpAddress
50	usrId usrId DD killed in #nepalearthquake . watch affected places here gt ; gt ; httpAddress
51	rt usrId breaking at least 2 263 killed 4 647 injured after #nepalquake and aftershocks home affairs spokesman tells cnn httpAddress
52	rt usrId we re providing warm clothes blankets amp ; hygiene kits to children in #nepal all thanks to your amazing httpAddress http
53	rt usrId one more gospel preacher to nepal httpAddress
54	rt usrId please share this httpAddress if you have any information i will pass it on to their families ! #nepalearthquake httpAddress
55	rt usrId #prayfornepal more than DD people have died in deadly #earthquake in httpAddress rescue efforts on #everest underway ! htt
56	our affection from madrid spain there we were this summer from nepal
57	rt usrId monetary donations for nepal being accepted this week at usrId student affairs office cave and httpAddress
58	usrId usrId httpAddress good httpAddress gorkha army pers will b of grt help plz send them D relief it is reqd now as good will n D solace
59	all of my thoughts are with httpAddress i can t even put it into words
60	thank you usrId #nepalearthquake #nepal httpAddress
61	rt usrId plz help we all r trouble at httpAddress place to live ground is full fo water any help ? bikash lamichhane 97798490950
62	israelis turn to facebook in search for loved ones after nepal quake httpAddress
63	rt usrId d d d d reports of rss teams heading by road to nepal to join rescue amp ; httpAddress teams reportedly reaching later tonight amp ; tomorr
64	rt usrId pray for httpAddress pray for httpAddress pray for the httpAddress pray for the httpAddress pray for your httpAddress pray for
65	my home town is in piles of rubble my beloved patan is in chaos #prayfornepal #unitetohelpnepal #nepa
66	rt usrId rescuers in nepal s capital kathmandu have found a fifteen year old boy alive in an air pocket under tonnes of httpAddress #sab
67	please consider helping habitat for humanity rebuild in httpAddress httpAddress thank you in advance for your httpAddress
68	httpAddress httpAddress
69	rt usrId #prayfornepal a 7.9 earthquake has killed more than DD httpAddress pls join me in praying for #nepal httpAddress
