sentence	label
rt usrId DD yr old quake survivor ate clarified butter and drank water dripping from a wet cloth drs say he is in a good condition	1
delaware pair to join efforts in nepal as relief pours in httpAddress	1
#india #india sends relief to nepal httpAddress	1
four us dead in nepal us artists tour believed stranded along roadway httpAddress	1
rt usrId a heart full of condolences amp ; lips worded with prayers for the #earthquakeaffected in httpAddress there b light httpAddress http	1
woman pulled alive from wreckage after nepal quake httpAddress #nigeria #news	1
unicef httpAddress oxfam httpAddress httpAddress	1
httpAddress httpAddress	1
prayers for affected in #earthquake in #nepal amp ; httpAddress may allah give them strength to deal this httpAddress	1
israaid emergency relief for earthquake struck nepal httpAddress	1
rt usrId the 7.8 earthquake in nepal has left thousands of families in need of httpAddress your gift can httpAddress please give httpAddress httpAddress	1
rt usrId all climbers stranded at camps high up everest airlifted to safety httpAddress #nepalearthquake httpAddress	1
nepal update as you know my friend and co leader sabir trainer for expedition for hope is from httpAddress httpAddress	1
rt usrId our mountains and temples has been pulverised but #nepal will rise again writes usrId httpAddress httpAddress	1
great well done usrId usrId httpAddress	1
great reporting by usrId for usrId on the status of #nepal s D key historic sites httpAddress	0
rt usrId keep nepal in ur thoughts pls	1
seeing photos destroyed buildings you spent months around is hard beyond httpAddress no 1 for aid httpAddress life is not fair ! #nepal	1
when you enter your home open doors slowly and httpAddress doors may be the only thing preventing the walls from collapsing #nepalearthquake	0
rt usrId a pray for nepal by enrico barletta #travel #photography #travelphotography #photooftheday httpAddress	1
rt usrId nepal earthquake baby rescued httpAddress #photos	1
rt usrId dedicated to #nepalearthquake httpAddress #prayfornepal httpAddress	1
rt usrId nearly DD reported dead so far in #nepal earth httpAddress expected to rise	1
rt usrId #nepal army rescued a 4 month old baby from the rubble in bhaktapur after the httpAddress via radio express httpAddress fm http	1
rt usrId #indiawithnepal DD member army engineer task force moved httpAddress separate team to check nepal s power httpAddress #thankuarmy	0
#nepal #nepalearthquake canadian girlfriend is looking for boyfriend shankar kafle 21 male 5 7 he is httpAddress httpAddress	1
stay safe usrId excellent work in such a devastating situation #nepalearthquake	1
nepal quake quake deals heavy blow to nepal s rich cultural heritage kathmandu afp reduced to httpAddress httpAddress #jdt01	0
httpAddress httpAddress	1
rt usrId #thankyoupm becoz of you people are coming back safely to india from nepal	1
sending my love amp ; prayers to nepal #nepalearthquake #prayfornepal x	1
uttar pradesh government offers help for quake hit nepal uttar pradesh government has httpAddress	1
more than 2 500 confirmed dead in nepal earthquake httpAddress johnny heath corpus christi news	1
text nepal to DD unicef for 10 httpAddress	1
the httpAddress quake hit nepal on saturday destroying buildings in kathmandu and severely affecting rural areas across the httpAddress	0
nepal unable to channel aid ; toll could touch 7 00 with just two more persons rescued alive from under quake httpAddress httpAddress	1
rt usrId hospitals in south east nepal already overwhelmed by #earthquake victims says usrId httpAddress httpAddress	1
rt usrId are any of the big aid organizations delivering supplies to #nepalquake overland via india ? usrId #nepalearthquake #ne	1
rt usrId httpAddress today total D times earthquake feel in all over india nd httpAddress papaji plz save to all	1
rt usrId missing adelaide man zac sheridan calls his family from httpAddress usrId spoke to his brother httpAddress	1
rt usrId thanx #israel #israelinnepal #helpnepal #nepalearthquake httpAddress	1
rt bjprajnathsingh ndrf has rescued DD individuals recovered DD dead bodies and evacuated more than DD people in httpAddress #thankyoupm #bjp	1
our friend chhokpa posted pictures from kathmandu httpAddress httpAddress	0
rt usrId huge destruction of #nepalearthquake #prayfornepal #letshelpnepal #letsactindonesia via usrId httpAddress	0
3novices after massive 7.9 earthquake flights to kathmandu put on hold indian domestic airlines have put on hold their services to kathman	0
after devastating nepal earthquake charities relay stories httpAddress	1
world bank extends support to nepal extending support to earthquake hit nepal world bank president jim yong kim has said the httpAddress	1
rt usrId #icymi global #redcross is delivering aid to httpAddress here are D ways u can help ! httpAddress #nepalquake httpAddress	1
nepal shaken by deadly earthquake latest death toll tops 1 800 google exec among at least DD killed in httpAddress httpAddress	1
rt usrId relief efforts continue after the devastating #earthquake in httpAddress learn how you can help through usrId httpAddress	1
rt usrId let us come together to pray for those affected by the earthquake in nepal and httpAddress iskcon nepal has set up a rel htt	1
rt usrId there s a lot to pray for out httpAddress join us in lifting up the people of #nepal and httpAddress	1
pink mandy moore kevin jonas among celebrities tweeting support after nepal earthquake o httpAddress	1
rt usrId praying for the people of nepal and every other region affected by such a tragic httpAddress b	1
rt usrId stay strong must be better more than this #prayfornepal httpAddress	1
feling sad to c the imags of destrction which r coming frm httpAddress remind m the sadest tim of2005 whn thousnds pakstni lost thr lives e	1
rt usrId DD medical teams being deployed in nepal including D teams which have already reached #opmaitri #nepalearthquake httpAddress	1
stay strong nepal earthquake again	1
rt usrId DD missing in everest httpAddress #nepalquake	1
rt usrId google launches special personal finder for people in #nepalearthquake zone httpAddress httpAddress	1
when you go out for momos this evening ask and reassure the httpAddress most of them have their families in nepal and they might be stuck httpAddress	1
rt usrId tired of waiting for aid thousands in nepal s capital flee the city for the surrounding plains httpAddress	1
rt usrId #coinsforaustralia send all ur coins aus has unconditionally given u amp ; send D nepal u may claim legal right D kill but ur r e	1
#prayfornepal seeing those images breaks my httpAddress	1
rt usrId pmi together with foreign ministry will evacuate indonesian citizen in nepal #nepalearthquake	1
the building on right is now leaning precariously on its httpAddress impending httpAddress #thamer #kathmandu #nepal httpAddress	0
whatever home ministry wl give orders will try to do that will provide every possible support jp nadda union health min #nepalearthquake	1
really saddened by visuals of #nepal after the httpAddress may they find all d help n strength dey need D bear dis tragedy n recover n rise	1
rt usrId with love and thoughts for the lives lost and the ones still struggling f #nepal #nepalearthquake #peace #love httpAddress	1
pray #nepal	1
in the student center this week from 11 30 1 you can donate some shirts to the individuals of nepal ! go help out 9 #nepal	1
rt usrId pakistans two aid planes reach nepal nation httpAddress	1
breaking death toll in #nepal s powerful #earthquake rises to 711 home ministry #nepalquake	1
rt usrId #iran s usrId message of condolences to victims of #nepalearthquake httpAddress	1
rt usrId thanks usrId for donating 100 00 to the usrId #stayhopefulnepal httpAddress #nepalearthquake http	1
if this d best #soulvultures can pin goi amp ; modi on D #nepalquakerelief usrId i am really proud of my httpAddress httpAddress	1
google exec dies in mt . everest avalanche after nepal quake httpAddress #startup #entrepreneurs #ideas	1
villages near nepal earthquakes epicenter are desperate five hours by car from kathmandu then by foot for several miles past the httpAddress	0
rt usrId 7.8 quake has devastated httpAddress join us in supporting usrId providing immediate medical care food amp ; httpAddress text	1
rt usrId #aheartofgold #yunakim yunaa donated 100 00 thru usrId to help the nepalese children affected by the #nepalea	1
rt usrId kathmandu exodus may reach 300 00 as residents flee post earthquake chaos httpAddress	1
rt usrId thoughts and prayers going out to #nepal right now	1
arnab is on #nepalearthquake since morn ; doing a commendable job at that usrId	1
praying for httpAddress labor pains of the second coming of christ only grow httpAddress stay eternally minded family	1
rt usrId re using firewood at the main crematorium in httpAddress funeral pyres are burning day and httpAddress #nepalquake httpAddress	1
there will be an event at #scsu hope for #nepal #redcross on april 27th may 1 DD at 10 00 3 00pm	1
DD stranded nepal tourists return to city in special flight with relief writ large on their faces DD passengers who were stranded ..	1
rt usrId team wizcraft s prayers amp ; love goes with all those affected and we hope for their speedy httpAddress #prayfornepal httpAddress	1
another reason i hate people my age and their love of httpAddress httpAddress	0
rt usrId our brave forces are tirelessly working to save lifes amp ; help people in httpAddress #salute2indianforces	1
rt usrId hundreds of people getting treatment outside of teaching hospital #earthquake #nepal httpAddress	1
#nepal #earthquake death toll exceeds 1 00 httpAddress httpAddress #everest	1
rt usrId the death of mountaineers in the avalanche following nepal s quake has deeply affected those with the spirit of advent	1
usrId usrId usrId usrId coz no httpAddress is a poor httpAddress httpAddress everything else walks	1
rt usrId google reduced cost of calls to nepal to httpAddress from httpAddress to help loved ones connect httpAddress	1
words fail me . you cannot make this shit up . #nepalearthquake httpAddress	1
xinhua abt httpAddress affected in nepal 200dead a big tragedy usrId	1
rt usrId australians missing after #nepal #earthquake kills more than 1 300 httpAddress httpAddress	1
rt usrId everyone in kathmandu is just httpAddress what a prolonged test of human spirit this is going to be .	1
rt usrId death toll in #nepalearthquake rises past 2 100 as rescuers continue search for survivors httpAddress httpAddress	1
#kathmandu #earthquake sad and worried waiting for news	1
noticias sin the latest on nepal quake thousands try to leave kathmandu thousands line up at bus stations in kathmandu in bid httpAddress	1
be strong httpAddress #prayfornepal #nepalearthquake	1
rt usrId #nepalearthquake arrival of stranded indians from kathmandu at palam by c 17 of iaf in the wee hours 2 httpAddress	1
rt usrId plz text give nepal to DD to help earthquake victims f just one txt is all it takes to help rt httpAddress	1
rt usrId text the word nepal to DD to donate DD dollars to earthquake relief in httpAddress thousands of people are hurt and they	1
rt usrId god have mercy ! usrId #nepalearthquake 4 month old baby rescued from rubble httpAddress httpAddress	1
rt usrId follow usrId for latest updates on #redcross response to #nepalearthquake httpAddress	1
rt usrId thousands die in an earthquake in nepal one died in police custody one story gets httpAddress	1
some victorians safe but others still missing in nepal httpAddress #age #world	1
httpAddress httpAddress	1
#nepalquakerelief annapurna base camp D and camp D note httpAddress	1
rt usrId httpAddress at least DD dead in nepal according to httpAddress another DD killed in india D in tibet and D in httpAddress http	1
#nepalearthquake father god we pray for those whose lives were lost in httpAddress	1
rt usrId nation mourns as families hold mass cremations for victims of #nepalquake httpAddress httpAddress	1
#earthquake death toll in nepal rises to DD httpAddress really vry sad httpAddress my condolnce wid httpAddress dey all find d strenght D ovrcme	1
rt usrId #everestbasecamp #nepalearthquake #everest 100million thank yous D the worldwide network that helped us find spencer ! ht	1
rt evacuees return by road from httpAddress coordination between mea ssb district admn amp ; customs in no mans httpAddress httpAddress	1
facebook doing things well httpAddress #nepalearthquake	1
rt usrId check out these links they are excellent guides for those who would like to help #nepalearthquake httpAddress	1
rt usrId an raf c 17 has left for nepal carrying vital uk aid stocks and a team of gurkha engineers httpAddress http	1
rt usrId we have been in touch with all our #outreach teams in nepal and they are all doing httpAddress pray for #nepalearthquake . httpAddress	1
rt usrId httpAddress is assisting usrId usrId usrId usrId amp ; usrId with #nepalquakerelief follow the accounts to know h	1
rt usrId mom feeding her children in #kathmandu on open ground after #earthquake #nepal httpAddress	1
please rt usrId usrId httpAddress	1
rt usrId telecom minister rs prasad order bsnl to charge all call to nepal as local call #indiawithnepal	1
rt usrId whole nation is trying to help nepal in every possible way #prestitutes will never fail to show httpAddress httpAddress	1
rt usrId breaking death toll from nepal earthquake tops httpAddress	1
rt usrId watch incredible drone footage of nepal s heritage spots shows widespread damage httpAddress httpAddress	0
blaze buzz !! prayers going httpAddress httpAddress #blazecertified usrId #hot103jamz usrId	0
tragedia httpAddress	1
thoughts go out to #nepal	1
nearly tweeted to complain about the football httpAddress then i realised it means absolutely nothing compared to what s happened in nepal	1
rt usrId earthquake in httpAddress golden temple to send D lac and delhi gurdwaras to send DD k meals httpAddress i m proud to be httpAddress	1
